Date,Solar_Index,Temperature,Humidity,Wind_Speed,Precipitation,Location
2023-08-20,3.1872,26.32,88.64,3.28,8.01,Ghatkopar
2023-08-21,5.8435,26.13,87.58,2.65,4.27,Ghatkopar
2023-08-22,3.0722,26.19,88.66,2.67,9.25,Ghatkopar
2023-08-23,4.2367,26.32,89.56,2.79,6.84,Ghatkopar
2023-08-24,5.1161,26.7,89.74,3.17,12.16,Ghatkopar
2023-08-25,4.9978,26.95,89.63,3.3,17.75,Ghatkopar
2023-08-26,5.124,26.81,89.06,3.4,19.21,Ghatkopar
2023-08-27,4.9025,26.79,88.54,3.14,18.6,Ghatkopar
2023-08-28,5.8654,26.22,90.29,2.52,10.12,Ghatkopar
2023-08-29,6.0612,26.37,87.35,1.97,1.43,Ghatkopar
2023-08-30,6.4999,26.58,85.33,1.52,0.25,Ghatkopar
2023-08-31,6.5986,26.63,86.41,1.56,0.28,Ghatkopar
2023-09-01,6.2606,26.94,87.1,1.72,10.61,Ghatkopar
2023-09-02,2.8027,25.86,90.45,2.04,23.17,Ghatkopar
2023-09-03,1.7134,26.19,87.68,2.02,3.75,Ghatkopar
2023-09-04,6.1188,26.06,87.53,2.26,1.19,Ghatkopar
2023-09-05,6.0948,26.16,86.33,2.06,0.67,Ghatkopar
2023-09-06,5.7226,26.25,88.92,2.57,3.23,Ghatkopar
2023-09-07,2.0042,25.75,92.71,3.45,69.38,Ghatkopar
2023-09-08,1.091,26.26,92.93,3.88,66.91,Ghatkopar
2023-09-09,3.2986,26.76,91.55,3.31,14.62,Ghatkopar
2023-09-10,5.1163,27.02,90.72,2.85,5.8,Ghatkopar
2023-09-11,5.9366,26.87,89.74,3.02,3.58,Ghatkopar
2023-09-12,5.6254,26.54,88.44,2.43,1.38,Ghatkopar
2023-09-13,5.8644,26.31,88.64,2.43,4.79,Ghatkopar
2023-09-14,5.2826,26.48,87.4,1.78,6.99,Ghatkopar
2023-09-15,4.8182,26.66,88.49,1.89,2.06,Ghatkopar
2023-09-16,2.4002,26.63,91.14,2.81,7.68,Ghatkopar
2023-09-17,3.6274,27.13,89.42,3.51,9.28,Ghatkopar
2023-09-18,4.2146,27.14,89.08,3.83,16.68,Ghatkopar
2023-09-19,5.4893,27.13,88.69,3.61,12.85,Ghatkopar
2023-09-20,4.645,27.19,90.8,3.28,18.3,Ghatkopar
2023-09-21,3.4606,26.93,92.2,2.04,31.49,Ghatkopar
2023-09-22,3.5798,26.7,91.06,1.62,17.51,Ghatkopar
2023-09-23,2.8394,26.13,93.22,1.75,32.05,Ghatkopar
2023-09-24,2.8217,25.92,91.28,1.81,13.16,Ghatkopar
2023-09-25,3.7678,26.02,91.69,1.92,14.84,Ghatkopar
2023-09-26,5.4751,26.09,91.69,1.61,19.45,Ghatkopar
2023-09-27,3.9962,26.76,91.89,2.14,20.73,Ghatkopar
2023-09-28,3.3838,27.18,90.49,1.92,17.43,Ghatkopar
2023-09-29,3.8328,27.71,86.97,1.93,16.05,Ghatkopar
2023-09-30,4.3078,27.24,90.18,2.11,18.01,Ghatkopar
2023-10-01,4.1239,26.72,92.56,2.23,13.51,Ghatkopar
2023-10-02,4.6171,26.33,88.89,1.79,10.45,Ghatkopar
2023-10-03,5.61,26.24,85.85,1.32,0.01,Ghatkopar
2023-10-04,5.9194,26.26,86.57,1.39,0.0,Ghatkopar
2023-10-05,5.8812,25.82,87.03,1.56,0.01,Ghatkopar
2023-10-06,5.7329,26.09,85.84,1.39,0.04,Ghatkopar
2023-10-07,5.7221,26.49,86.21,1.51,0.0,Ghatkopar
2023-10-08,5.357,27.15,83.12,1.47,0.0,Ghatkopar
2023-10-09,5.6599,26.84,82.8,1.64,0.0,Ghatkopar
2023-10-10,5.7516,25.99,83.43,1.95,0.0,Ghatkopar
2023-10-11,5.6904,26.17,81.64,1.58,0.0,Ghatkopar
2023-10-12,5.34,27.44,77.74,1.43,0.0,Ghatkopar
2023-10-13,5.2212,27.74,76.37,1.69,0.05,Ghatkopar
2023-10-14,5.2123,27.78,72.26,1.29,0.08,Ghatkopar
2023-10-15,5.1062,27.44,77.19,1.4,0.21,Ghatkopar
2023-10-16,4.344,27.76,76.57,1.38,0.4,Ghatkopar
2023-10-17,4.8386,27.63,75.47,1.3,0.45,Ghatkopar
2023-10-18,4.9476,26.96,77.28,2.0,0.04,Ghatkopar
2023-10-19,5.2286,27.04,75.36,1.66,0.01,Ghatkopar
2023-10-20,4.5264,27.72,74.32,1.53,0.02,Ghatkopar
2023-10-21,4.6495,27.46,76.12,1.77,0.01,Ghatkopar
2023-10-22,4.925,27.48,77.2,1.51,0.05,Ghatkopar
2023-10-23,4.9526,26.83,73.63,1.68,0.0,Ghatkopar
2023-10-24,4.9111,26.68,73.59,1.79,0.0,Ghatkopar
2023-10-25,5.113,25.92,71.17,2.15,0.0,Ghatkopar
2023-10-26,5.123,25.32,65.69,2.56,0.0,Ghatkopar
2023-10-27,5.261,24.73,64.9,2.25,0.0,Ghatkopar
2023-10-28,5.1072,25.12,64.73,2.02,0.0,Ghatkopar
2023-10-29,4.9639,25.26,63.93,1.77,0.0,Ghatkopar
2023-10-30,4.9454,25.0,65.25,2.34,0.0,Ghatkopar
2023-10-31,4.8211,24.78,67.0,2.27,0.0,Ghatkopar
2023-11-01,4.913,24.59,70.12,2.23,0.0,Ghatkopar
2023-11-02,4.7868,24.93,69.93,2.03,0.0,Ghatkopar
2023-11-03,4.5408,25.31,69.14,2.14,0.0,Ghatkopar
2023-11-04,4.345,25.78,66.62,2.55,0.0,Ghatkopar
2023-11-05,4.3277,26.29,72.09,2.37,0.01,Ghatkopar
2023-11-06,4.6109,25.16,71.9,2.7,0.01,Ghatkopar
2023-11-07,4.6042,25.66,76.32,2.05,0.0,Ghatkopar
2023-11-08,4.1657,26.07,81.78,1.92,3.53,Ghatkopar
2023-11-09,4.3222,26.56,82.13,1.23,0.72,Ghatkopar
2023-11-10,4.3224,25.68,86.64,1.77,11.2,Ghatkopar
2023-11-11,4.3219,26.08,74.28,2.17,1.33,Ghatkopar
2023-11-12,4.4246,25.8,70.49,2.65,0.0,Ghatkopar
2023-11-13,4.6514,24.98,70.54,2.46,0.0,Ghatkopar
